Komponist,GND_ID_Komponist,Total
"Czerny, Carl",118677667,169400
"Bertini, Henri",116149493,96000
"Grieg, Edvard",118697641,52800
"Jensen, Adolf",117102946,50100
"Clementi, Muzio",118676423,40920
"Schumann, Robert",118611666,40000
"Köhler, Louis",116285036,39150
"Herz, Henri",116759194,38010
"Löschhorn, Albert",130881082,34075
"Diabelli, Anton",119216132,29000
"Bach, Johann Sebastian",11850553X,26400
"Raff, Joseph Joachim",118597779,20600
"Liszt, Franz",118573527,18100
"Bendel, Franz",116117826,14100
"Spindler, Fritz",117491314,13875
"Kirchner, Theodor",119430606,11800
"Wohlfahrt, Heinrich",122986628,10800
"Kogel, Gustav Friedrich",116303093,8950
"Voss, Charles",117495255,7725
"Jae͏̈ll, Alfred",117059013,7600
"Scharwenka, Xaver",117110450,7000
"Dussek, Johann Ladislaus",11867286X,6500
"Rubinštejn, Anton G.",118926802,5600
"Hünten, Franz",118707795,5400
"Gurlitt, Cornelius",118962256,4600
"Chopin, Frédéric",118520539,4500
"Henselt, Adolf von",118903861,4400
"Müller, August Eberhard",117573507,3800
"Gade, Niels Wilhelm",119057077,3600
"Beethoven, Ludwig van",118508288,3000
"Jungmann, Albert",117238694,2900
"Döhler, Theodor",104066954,2800
"Kuhe, Wilhelm",116611537,2800
"Enke, Heinrich",103886893,2700
"Moscheles, Ignaz",118785028,2700
"Reissiger, Carl Gottlieb",100625320,2200
"Kuhlau, Friedrich",118567837,2000
"Steibelt, Daniel",104206780,2000
"Volkmann, Robert",11876912X,1800
"Dreyschock, Alexander",116222743,1600
"Kiel, Friedrich",118561936,1600
"Reinecke, Carl",119388472,1600
"Wollenhaupt, Hermann A.",133377601,1500
"Berger, Ludwig",116131810,1400
"Rosenhain, Jakob",116624043,1400
"Kalkbrenner, Friedrich",118559559,1300
"Popp, Wilhelm",120138980,1300
"Kreutzer, Conradin",11871600X,1200
"Jadassohn, Salomon",119258021,1075
"Hofmann, Heinrich",116951346,1000
"Huber, Hans",118707469,1000
"Hummel, Johann Nepomuk",118554751,1000
"Leschetizky, Theodor",120890143,1000
"Schmitt, Aloys",116799293,1000
"Weber, Carl Maria von",118629662,1000
"Willmers, Rudolf",104318724,1000
"Neupert, Edmund",128693584,900
"Bungert, August",118667998,800
"Bülow, Hans von",118664638,600
"Kullak, Theodor",116607157,500
"Spohr, Louis",118616366,500
"Hiller, Ferdinand von",118704931,400
"Gayrhos, Eugène",1089387482,300
"Mayer, Charles",117542601,247
"Löw, Josef",135447224,175
"Hollaender, Alexis",116961694,100
"Kroll, Franz",116552336,100
"Rüfer, Philipp",116675357,100
"Riemann, Hugo",118600877,75
"Speidel, Wilhelm",117482749,75
"Wolff, Leonhard",117441511,50
"Satter, Gustav",116974753,25
