Komponist,GND_ID_Komponist,Total
"Kirchner, Theodor",119430606,20244
"Köhler, Louis",116285036,19395
"Brahms, Johannes",118514253,13800
"Spindler, Fritz",117491314,12927
"Löw, Josef",135447224,9415
"Merkel, Gustav",119149575,8788
"Raff, Joseph Joachim",118597779,7900
"Heller, Stephen",118773852,7478
"Hiller, Ferdinand von",118704931,6142
"Krause, Anton",116389060,4280
"Baumfelder, Friedrich",116089989,4169
"Gade, Niels Wilhelm",119057077,3725
"Schubert, Franz",118610961,3200
"Bargiel, Woldemar",116056908,2700
"Beethoven, Ludwig van",118508288,2682
"Egghard, Jules",133360148,2450
"Mozart, Wolfgang Amadeus",118584596,2425
"Hering, Carl",116736151,2200
"Jae͏̈ll, Alfred",117059013,2050
"Eschmann, Johann Karl",116569468,1850
"Schulz-Beuthen, Heinrich",117256315,1800
"Struve, Anastasius",1262114829,1725
"Kühne, Friedrich Wilhelm Arnold",1258186772,1675
"Liszt, Franz",118573527,1550
"Markull, Friedrich Wilhelm",116783575,1525
"Baumgartner, Wilhelm",131910337,1475
"Bergson, Michał",116134062,1475
"Mendelssohn Bartholdy, Felix",118580779,1325
"Wels, Charles",142156019,1305
"Herzogenberg, Heinrich von",119523876,1125
"Goldbeck, Robert",116748176,1075
"Krause, Theodor",135461820,1050
"Seeling, Hans",142382736,1050
"Noskowski, Zygmunt",117058297,930
"Puchtler, Wilhelm Maria",103936319,850
"Röhr, Louis",1148701583,780
"Gernsheim, Friedrich",116589930,775
"Thomas, Gustav Adolf",1089772963,725
"Wüllner, Franz",11877137X,630
"Gallrein, Julius",120711555X,600
"Goetz, Hermann",118696025,600
"Heijblom, Alexander Wilhelmus Aalbert",1208925407,600
"Becker, Georges",135904498,525
"Kunkel, Gotthold",116610670,525
"Stevens, Fréderic",1207503894,500
"Jensen, Adolf",117102946,475
"Engel, David Hermann",11648666X,450
"Grimm, Julius Otto",116843217,450
"Heuchemer, Johann",103902422,450
"Kessler, Joseph Christoph",117512273,450
"Ramann, Lina",12159811X,450
"Pflughaupt, Robert",104018593,425
"Schumann, Clara",11861164X,425
"Bach, Wilhelm Friedemann",118505548,400
"Bödecker, Louis",1135160805,400
"Krüger, Wilhelm",11659294X,400
"Golde, Adolf",135104726,380
"Billet, Alexandre Philipe",141539348,375
"Barth, Richard",118506811,350
"Barth, Rudolph",1208448676,350
"Naus, Theodor",1207338087,350
"Billeter, Agathon",116181044,325
"Emmerich, Robert",116470895,325
"Grieg, Edvard",118697641,325
"Damcke, Berthold",132625814,309
"Adler, Vincent",143833286,300
"Gayrhos, Eugène",1089387482,300
"Kalliwoda, Wilhelm",116032553,300
"Klengel, Julius",116230835,300
"Kündig, Felix",128798410X,300
"Wettig, Carl",117328235,300
"Bach, Johann Sebastian",11850553X,250
"Vogt, Jean",117468142,250
"Krause, Emil",116389346,225
"Battmann, Jacques Louis",131502999,200
"Dietrich, Albert Hermann",116112425,200
"Huber, Hans",118707469,200
"Keller, Robert",119505339,200
"Steinmetz, Georg",1206258144,200
"Volckmar, Wilhelm",120431238,200
"Sluníčko, Jan",134755863,175
"Terschak, Adolf",134856015,175
"Jensen, Gustav",117104221,160
"Behr, Franz",116110155,150
"Blomberg, Adolf",1089191022,150
"Bolck, Oskar",103871977,150
"Ehlert, Louis",116379987,150
"Fink, Christian",116518685,150
"Frimmel, Theodor von",101069456,150
"Holstein, Franz von",11942911X,150
"Jaëll, Marie",119358905,150
"Naumann, Ernst",116899344,150
"Radecke, Robert",116322160,150
"Schauseil, Wilhelm",117113042,150
"Scholz, Bernhard",116902930,150
"Speer, Wilhelm Franz",1151403938,150
"Steuer, Robert",1016242956,150
"Stiehl, Heinrich",117245658,150
"Matthiae, Ernst",1191311708,100
"Rentsch, Johann Ernst Theodor",1019956879,100
"Voullaire, Woldemar",134948025,100
"Wickede, Friedrich von",117337145,100
"Heymann, Carl",116792477,75
"Hille, Eduard",116811579,75
"Petzold, Eugen",116138386,75
